date,price_inr
2021-07-20,5587.5599999999995
2021-07-21,5831.580000000001
2021-07-22,5988.450000000001
2021-07-23,5995.919999999999
2021-07-26,5988.450000000001
2021-07-27,5949.4400000000005
2021-07-28,6006.71
2021-07-29,6110.46
2021-07-30,6136.1900000000005
2021-08-02,5918.7300000000005
2021-08-03,5863.12
2021-08-04,5659.7699999999995
2021-08-05,5735.299999999999
2021-08-06,5665.580000000001
2021-08-09,5524.4800000000005
2021-08-10,5671.389999999999
2021-08-11,5751.9
2021-08-12,5736.96
2021-08-13,5673.88
2021-08-16,5597.5199999999995
2021-08-17,5519.5
2021-08-18,5424.88
2021-08-19,5286.2699999999995
2021-08-20,5166.75
2021-08-23,5448.950000000001
2021-08-24,5602.5
2021-08-25,5688.820000000001
2021-08-26,5595.860000000001
2021-08-27,5713.72
2021-08-30,5750.24
2021-08-31,5679.6900000000005
2021-09-01,5696.29
2021-09-02,5815.8099999999995
2021-09-03,5755.22
2021-09-07,5684.669999999999
2021-09-08,5756.88
2021-09-09,5665.580000000001
2021-09-10,5795.0599999999995
2021-09-13,5854.820000000001
2021-09-14,5853.99
2021-09-15,6024.97
2021-09-16,6033.2699999999995
2021-09-17,5983.47
2021-09-20,5844.03
2021-09-21,5852.330000000001
2021-09-22,6006.71
2021-09-23,6094.6900000000005
2021-09-24,6156.9400000000005
2021-09-27,6269.820000000001
2021-09-28,6261.5199999999995
2021-09-29,6229.9800000000005
2021-09-30,6243.26
2021-10-01,6308.830000000001
2021-10-04,6447.4400000000005
2021-10-05,6571.110000000001
2021-10-06,6445.78
2021-10-07,6512.179999999999
2021-10-08,6602.65
2021-10-11,6693.12
2021-10-12,6702.25
2021-10-13,6695.610000000001
2021-10-14,6758.6900000000005
2021-10-15,6838.37
2021-10-18,6857.46
2021-10-19,6904.7699999999995
2021-10-20,7005.200000000001
2021-10-21,6859.12
2021-10-22,7015.99
2021-10-25,7025.12
2021-10-26,7108.12
2021-10-27,6860.78
2021-10-28,6870.74
2021-10-29,6930.5
2021-11-01,6978.639999999999
2021-11-02,6964.53
2021-11-03,6708.0599999999995
2021-11-04,6547.04
2021-11-05,6743.75
2021-11-08,6802.679999999999
2021-11-09,6981.96
2021-11-10,6742.09
2021-11-11,6762.01
2021-11-12,6712.21
2021-11-15,6710.549999999999
2021-11-16,6703.080000000001
2021-11-17,6500.5599999999995
2021-11-18,6550.360000000001
2021-11-19,6317.13
2021-11-22,6369.419999999999
2021-11-23,6500.5599999999995
2021-11-24,6500.5599999999995
2021-11-29,5800.04
2021-11-30,5489.62
2021-12-01,5431.5199999999995
2021-12-02,5527.799999999999
2021-12-03,5510.37
2021-12-06,5778.46
2021-12-07,5971.0199999999995
2021-12-08,6011.6900000000005
2021-12-09,5882.21
2021-12-10,5951.929999999999
2021-12-13,5908.7699999999995
2021-12-14,5857.3099999999995
2021-12-15,5883.87
2021-12-16,6004.22
2021-12-17,5887.1900000000005
2021-12-20,5701.2699999999995
2021-12-21,5901.299999999999
2021-12-22,6044.0599999999995
2021-12-23,6132.87
2021-12-27,6265.669999999999
2021-12-28,6308.830000000001
2021-12-29,6356.139999999999
2021-12-30,6376.889999999999
2021-12-31,6252.389999999999
2022-01-03,6307.169999999999
2022-01-04,6391.0
2022-01-05,6459.889999999999
2022-01-06,6596.01
2022-01-07,6557.0
2022-01-10,6483.13
2022-01-11,6737.110000000001
2022-01-12,6848.330000000001
2022-01-13,6803.51
2022-01-14,6957.0599999999995
2022-01-18,7089.860000000001
2022-01-19,7207.72
2022-01-20,7162.070000000001
2022-01-21,7068.28
2022-01-24,7011.84
2022-01-25,7188.63
2022-01-26,7331.389999999999
2022-01-27,7271.63
2022-01-28,7276.610000000001
2022-01-31,7400.28
2022-02-01,7322.26
2022-02-02,7317.28
2022-02-03,7484.110000000001
2022-02-04,7658.41
2022-02-07,7573.75
2022-02-08,7413.5599999999995
2022-02-09,7434.3099999999995
2022-02-10,7455.889999999999
2022-02-11,7727.299999999999
2022-02-14,7928.16
2022-02-15,7641.8099999999995
